session_id,event,message_id,ts_epoch,ts_iso
fec404a7,Start,768064e0,1762763327.0806408,2025-11-10T08:28:47.080642+00:00
BOOT,BootNotification,5facf44d,1762763700.160374,2025-11-10T08:35:00.160376+00:00
9f781597,Start,cb5bf2f4,1762763700.378318,2025-11-10T08:35:00.378321+00:00
9f781597,Stop(early),850ec05c,1762763700.4922872,2025-11-10T08:35:00.492292+00:00
9f781597,MeterValues(late),f6739595,1762763700.7022586,2025-11-10T08:35:00.702260+00:00
03307fb6,Start,f5797896,1762763701.5151384,2025-11-10T08:35:01.515142+00:00
03307fb6,Stop(early),8aa94bf8,1762763701.6294224,2025-11-10T08:35:01.629427+00:00
03307fb6,MeterValues(late),2265386c,1762763701.8381548,2025-11-10T08:35:01.838155+00:00
689994a5,Start,e5f28059,1762763702.6587868,2025-11-10T08:35:02.658789+00:00
689994a5,Stop(early),754fa475,1762763702.763011,2025-11-10T08:35:02.763013+00:00
689994a5,MeterValues(late),b46443c8,1762763702.9974022,2025-11-10T08:35:02.997405+00:00
7ee7cf96,Start,b7a2a4d5,1762763703.8070261,2025-11-10T08:35:03.807027+00:00
7ee7cf96,Stop(early),ec92d4b0,1762763703.9186578,2025-11-10T08:35:03.918659+00:00
7ee7cf96,MeterValues(late),1d5b4570,1762763704.1366715,2025-11-10T08:35:04.136674+00:00
ef0aa63f,Start,6671ced5,1762763704.9558492,2025-11-10T08:35:04.955859+00:00
ef0aa63f,Stop(early),00f47e91,1762763705.077393,2025-11-10T08:35:05.077397+00:00
ef0aa63f,MeterValues(late),1cad88f0,1762763705.2908459,2025-11-10T08:35:05.290847+00:00
